"permno","gvkey","companyid","keydevid","actdate","announcedate","ri30","ri60","ri182","ri365","sri30","sri182"
14795,"010581",308582,428990311,2017-05-19,2017-04-26,-0.0017070460847619,-0.00352739613333333,-0.00218863576035716,-0.00535056257777781,-0.184954370946421,-0.0390879335298575
14795,"010581",308582,641378510,2019-12-12,2019-10-22,-0.00374529272666667,-0.00340993309238096,-0.00633407796609526,-0.00987309443621032,-0.453403847163543,-0.126395818081571
14795,"010581",308582,1799800556,2022-09-28,2022-09-07,-0.0051741236197619,-0.00602658445023809,0.0100749699475397,0.0344018006046826,-0.286441714626571,0.0919375847034292
55001,"010735",309456,584406083,2018-10-04,2018-10-01,0.00498197426035715,0.00640963687285714,0.00586353572369046,0.00696145026071429,0.440519330709693,0.0854619766701143
55001,"010735",309456,690147951,2020-11-19,2020-09-29,-0.00083666478642857,-0.00147561992404761,-0.0013724591528968,0.00183166563150791,-0.0428606915863768,-0.0115892939445163
15215,"010761",113678246,690146301,2020-10-20,2020-09-29,0.732354829289524,0.569194020914047,0.52424366765488,0.296159103344524,1.12835285819795,0.133139353469619
15215,"010761",113678246,1781675902,2022-05-13,2022-05-05,0.73720446089131,0.000353394167142973,-0.0641362558345241,0.094814548744523,3.59384584928344,-0.0515376913391432
76185,"010789",309821,295061232,2015-05-04,2015-05-03,-0.000803939665119046,-0.00155755677880953,-4.3815816666824e-06,-0.000396939352936468,-0.0878062782041851,-7.88829039764442e-05
77730,"010793",190636,261905802,2014-12-10,2014-04-11,-0.000283995697500003,-0.000248744511190479,0.00104879993009524,0.00043102863093258,-0.0330042632086972,0.0200909650347162
77730,"010793",190636,612693500,2019-06-20,2019-05-08,-0.00143449274916666,-0.0025191773747619,-0.0032760947872619,-0.00286348156049599,-0.180806738492793,-0.0680648011757757
77730,"010793",190636,1680535027,2021-12-09,2021-09-08,-0.00231989164583333,-0.00467511945833333,-0.00722273131111903,-0.0075935407574008,-0.296372992363221,-0.152097561067099
